grid_id,grid_lat,grid_lon,date,fire_count,avg_brightness,avg_frp,max_frp,baseline_mean,baseline_std,z_score,is_anomaly
39.75_43.0,39.75,43.0,2026-08-26,1,344.33,5.61,5.61,,,,False
40.0_28.75,40.0,28.75,2026-08-30,1,340.95,4.29,4.29,,,,False
40.0_29.75,40.0,29.75,2026-08-26,1,307.64,1.06,1.06,,,,False
40.0_29.75,40.0,29.75,2026-08-31,1,304.07,0.89,0.89,1.0,,,False
40.0_32.5,40.0,32.5,2026-08-26,2,302.31500000000005,0.675,0.72,,,,False
40.0_32.5,40.0,32.5,2026-08-31,1,297.49,0.92,0.92,2.0,,,False
40.0_32.75,40.0,32.75,2026-08-29,1,339.82,6.74,6.74,,,,False
40.0_32.75,40.0,32.75,2026-09-01,1,344.8,8.65,8.65,1.0,,,False
40.0_34.25,40.0,34.25,2026-09-01,4,344.7,9.51,22.62,,,,False
40.0_34.75,40.0,34.75,2026-08-26,7,354.9985714285714,6.798571428571429,10.32,,,,False
40.0_35.0,40.0,35.0,2026-08-26,1,312.17,2.18,2.18,,,,False
40.0_35.0,40.0,35.0,2026-08-27,4,342.3375,7.135,8.83,1.0,,,False
40.0_35.75,40.0,35.75,2026-08-27,2,338.17499999999995,3.29,3.29,,,,False
40.25_29.25,40.25,29.25,2026-08-30,1,337.86,3.45,3.45,,,,False
40.25_30.0,40.25,30.0,2026-08-26,1,307.14,0.7,0.7,,,,False
40.25_30.0,40.25,30.0,2026-08-30,2,302.185,0.8400000000000001,0.87,1.0,,,False
40.25_33.25,40.25,33.25,2026-08-26,1,333.28,4.09,4.09,,,,False
40.25_33.5,40.25,33.5,2026-08-31,2,342.675,5.33,6.09,,,,False
40.25_33.75,40.25,33.75,2026-08-26,1,347.16,3.48,3.48,,,,False
40.25_33.75,40.25,33.75,2026-09-01,1,334.97,7.05,7.05,1.0,,,False
40.25_34.0,40.25,34.0,2026-08-27,12,348.30333333333334,28.617499999999996,83.51,,,,False
40.25_34.25,40.25,34.25,2026-08-26,1,350.27,3.61,3.61,,,,False
40.25_40.5,40.25,40.5,2026-08-27,1,336.14,3.44,3.44,,,,False
40.5_26.5,40.5,26.5,2026-08-29,2,336.115,7.26,7.26,,,,False
40.5_30.25,40.5,30.25,2026-08-26,1,343.52,9.93,9.93,,,,False
40.5_34.0,40.5,34.0,2026-08-31,2,342.43,4.199999999999999,4.39,,,,False
40.5_34.0,40.5,34.0,2026-09-01,4,344.8425,5.6625,6.7,2.0,,,False
40.5_34.25,40.5,34.25,2026-08-26,2,301.25,0.8049999999999999,0.84,,,,False
40.5_34.25,40.5,34.25,2026-08-27,1,339.09,2.44,2.44,2.0,,,False
40.5_34.25,40.5,34.25,2026-08-31,11,342.8881818181818,5.692727272727272,11.78,1.5,0.7071067811865476,13.435028842544401,True
40.5_34.75,40.5,34.75,2026-08-31,1,335.51,3.98,3.98,,,,False
40.5_34.75,40.5,34.75,2026-09-01,2,339.71500000000003,5.95,6.42,1.0,,,False
40.5_36.5,40.5,36.5,2026-08-26,1,334.01,2.4,2.4,,,,False
40.75_29.25,40.75,29.25,2026-08-31,1,303.19,0.88,0.88,,,,False
40.75_29.5,40.75,29.5,2026-08-26,2,314.75,1.655,1.86,,,,False
40.75_29.5,40.75,29.5,2026-08-27,1,332.94,1.77,1.77,2.0,,,False
